customer_id,segment_name,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_total,ticket_count,return_rate,sessions_30d,last_visit_days_ago,loyalty_tier
CUST00075,Needs Attention,3,9,6791.61,5,5,5,15,4,0.0,10,13,Not Enrolled
CUST00076,New Customers,20,2,1385.27,5,2,2,9,0,0.0,17,8,Not Enrolled
CUST00077,Dormant,109,1,394.32,2,1,1,4,0,0.0,0,20,Not Enrolled
CUST00078,Needs Attention,139,1,894.45,2,1,2,5,1,100.0,5,38,Not Enrolled
CUST00079,Dormant,191,1,619.57,1,1,1,3,0,0.0,2,31,Silver
CUST00080,Dormant,50,3,2563.41,3,3,4,10,0,0.0,11,3,Gold
CUST00081,Needs Attention,19,8,5311.16,5,5,5,15,3,25.0,12,0,Silver
CUST00082,At-Risk,254,3,1671.25,1,3,3,7,0,0.0,7,44,Not Enrolled
CUST00083,Needs Attention,89,2,806.87,2,2,2,6,1,50.0,9,17,Not Enrolled
CUST00084,Dormant,167,1,1273.18,1,1,2,4,0,0.0,11,34,Silver
CUST00085,New Customers,14,1,1257.8,5,1,2,8,0,0.0,8,0,Not Enrolled
CUST00086,Loyal Customers,21,5,2195.41,4,4,3,11,1,0.0,7,0,Silver
CUST00087,New Customers,44,1,933.58,4,1,2,7,0,0.0,1,15,Not Enrolled
CUST00088,At-Risk,98,12,6774.5,2,5,5,12,1,0.0,9,18,Gold
CUST00089,At-Risk,165,2,2825.75,1,2,4,7,0,0.0,12,31,Not Enrolled
CUST00090,Loyal Customers,80,4,1966.31,3,4,3,10,1,0.0,5,36,Platinum
CUST00091,At-Risk,90,4,3726.87,2,4,4,10,1,0.0,9,11,Platinum
CUST00092,New Customers,21,1,430.85,4,1,1,6,0,0.0,1,3,Not Enrolled
CUST00093,Dormant,85,1,759.64,3,1,1,5,0,0.0,16,21,Gold
CUST00094,Needs Attention,183,4,3557.43,1,4,4,9,2,0.0,6,60,Not Enrolled
CUST00095,Dormant,65,1,372.65,3,1,1,5,1,0.0,10,7,Not Enrolled
CUST00096,Needs Attention,61,3,1563.75,3,3,3,9,1,33.3,12,15,Not Enrolled
CUST00097,Needs Attention,1,7,4703.46,5,5,5,15,2,14.3,0,0,Not Enrolled
CUST00098,At-Risk,184,2,1843.57,1,2,3,6,1,0.0,8,49,Not Enrolled
CUST00099,At-Risk,144,5,3410.87,2,4,4,10,1,0.0,4,27,Not Enrolled
CUST00100,Dormant,70,1,372.37,3,1,1,5,0,0.0,1,29,Not Enrolled
CUST00101,Needs Attention,108,5,3514.87,2,4,4,10,2,0.0,2,27,Not Enrolled
CUST00102,Dormant,83,1,732.65,3,1,1,5,0,0.0,2,7,Not Enrolled
CUST00103,New Customers,21,1,1469.96,4,1,2,7,0,0.0,6,0,Not Enrolled
CUST00104,Dormant,93,1,955.63,2,1,2,5,0,0.0,3,27,Not Enrolled
CUST00105,New Customers,46,1,2052.43,4,1,3,8,0,0.0,1,3,Not Enrolled
CUST00106,Champions,61,7,4352.11,3,5,5,13,1,0.0,5,21,Not Enrolled
CUST00107,Dormant,12,3,3548.15,5,3,4,12,0,0.0,2,10,Not Enrolled
CUST00108,Needs Attention,44,1,1074.5,4,1,2,7,1,100.0,5,11,Not Enrolled
CUST00109,At-Risk,92,5,3837.05,2,4,4,10,0,0.0,1,16,Silver
CUST00110,Needs Attention,35,6,3922.07,4,5,4,13,2,0.0,4,8,Not Enrolled
CUST00111,Dormant,178,1,1135.09,1,1,2,4,0,0.0,3,33,Silver
CUST00112,Champions,0,8,5576.25,5,5,5,15,1,12.5,4,0,Not Enrolled
CUST00113,New Customers,28,2,1601.31,4,2,3,9,0,0.0,17,2,Silver
CUST00114,At-Risk,239,6,5133.53,1,5,5,11,1,0.0,3,41,Not Enrolled
CUST00115,Dormant,159,1,596.54,1,1,1,3,1,0.0,12,23,Gold
CUST00116,At-Risk,143,6,5635.9,2,5,5,12,0,0.0,10,26,Not Enrolled
CUST00117,At-Risk,123,4,2534.33,2,4,3,9,0,0.0,2,27,Silver
CUST00118,New Customers,27,1,689.56,4,1,1,6,0,0.0,2,1,Silver
CUST00119,Dormant,69,3,2848.36,3,3,4,10,1,0.0,12,1,Not Enrolled
CUST00120,New Customers,26,1,261.95,4,1,1,6,0,0.0,6,5,Silver
CUST00121,New Customers,27,2,2496.0299999999997,4,2,3,9,0,0.0,5,2,Gold
CUST00122,At-Risk,106,2,2048.93,2,2,3,7,0,0.0,10,30,Gold
CUST00123,Needs Attention,102,6,2989.07,2,5,4,11,3,16.7,2,23,Silver
CUST00124,At-Risk,194,4,2570.5,1,4,4,9,0,0.0,5,43,Not Enrolled
CUST00125,New Customers,8,2,1698.4,5,2,3,10,0,0.0,0,0,Not Enrolled
CUST00126,Dormant,57,2,1260.02,3,2,2,7,0,0.0,5,3,Silver
CUST00127,New Customers,24,2,729.55,4,2,1,7,0,0.0,3,15,Silver
CUST00128,New Customers,19,2,1716.68,5,2,3,10,0,0.0,15,0,Not Enrolled
CUST00129,Needs Attention,83,3,3369.08,3,3,4,10,2,33.3,7,2,Not Enrolled
CUST00130,Dormant,88,1,1272.47,2,1,2,5,0,0.0,9,12,Gold
CUST00131,Champions,67,6,6830.01,3,5,5,13,0,0.0,4,14,Not Enrolled
CUST00132,At-Risk,117,5,4876.780000000001,2,4,5,11,0,0.0,1,24,Not Enrolled
CUST00133,Champions,54,8,5982.58,3,5,5,13,1,0.0,5,12,Not Enrolled
CUST00134,Needs Attention,35,5,4075.34,4,4,5,13,3,20.0,11,4,Not Enrolled
CUST00135,At-Risk,333,4,2534.18,1,4,3,8,0,0.0,3,60,Not Enrolled
CUST00136,Dormant,71,1,514.9,3,1,1,5,0,0.0,7,15,Gold
CUST00137,Dormant,177,2,1035.87,1,2,2,5,0,0.0,4,31,Silver
CUST00138,Dormant,61,1,905.11,3,1,2,6,0,0.0,5,24,Not Enrolled
CUST00139,Needs Attention,28,2,1715.4,4,2,3,9,2,0.0,5,10,Not Enrolled
CUST00140,Needs Attention,6,4,3768.34,5,4,4,13,2,0.0,14,12,Not Enrolled
CUST00141,New Customers,28,1,647.85,4,1,1,6,0,0.0,4,0,Not Enrolled
CUST00142,At-Risk,169,5,1880.0,1,4,3,8,0,0.0,2,41,Not Enrolled
CUST00143,Champions,32,6,7407.96,4,5,5,14,0,0.0,5,9,Silver
CUST00144,Needs Attention,86,9,6186.54,2,5,5,12,3,11.1,8,17,Gold
CUST00145,New Customers,30,1,502.35,4,1,1,6,0,0.0,0,0,Not Enrolled
CUST00146,At-Risk,108,5,5942.68,2,4,5,11,1,20.0,4,30,Silver
CUST00147,Dormant,84,3,2809.3199999999997,3,3,4,10,1,0.0,1,29,Platinum
CUST00148,Champions,4,4,3013.01,5,4,4,13,1,0.0,5,8,Not Enrolled
CUST00149,New Customers,8,1,787.94,5,1,2,8,0,0.0,8,0,Not Enrolled
CUST00150,Dormant,45,3,1355.63,4,3,2,9,0,0.0,6,7,Not Enrolled
CUST00151,Needs Attention,62,7,5530.69,3,5,5,13,3,0.0,7,4,Not Enrolled
CUST00152,Needs Attention,46,7,4989.280000000001,4,5,5,14,4,14.3,19,7,Silver
CUST00153,New Customers,3,1,977.12,5,1,2,8,0,0.0,6,0,Gold
CUST00154,Champions,10,8,7145.24,5,5,5,15,0,0.0,8,2,Gold
CUST00155,Dormant,2,3,2024.8,5,3,3,11,0,0.0,6,11,Not Enrolled
CUST00156,Needs Attention,34,2,4241.75,4,2,5,11,1,50.0,14,0,Not Enrolled
CUST00157,Loyal Customers,0,5,2269.91,5,4,3,12,1,0.0,3,5,Not Enrolled
CUST00158,Dormant,155,1,812.34,1,1,2,4,0,0.0,8,32,Not Enrolled
CUST00159,At-Risk,474,2,3713.77,1,2,4,7,0,0.0,0,60,Silver
CUST00160,Dormant,177,2,1064.66,1,2,2,5,1,0.0,4,37,Not Enrolled
CUST00161,Champions,20,4,4490.9,5,4,5,14,0,0.0,7,0,Silver
CUST00162,Dormant,91,2,1194.5900000000001,2,2,2,6,0,0.0,2,28,Gold
CUST00163,Dormant,70,1,275.41,3,1,1,5,0,0.0,3,19,Silver
CUST00164,At-Risk,222,5,4657.03,1,4,5,10,1,0.0,1,57,Platinum
CUST00165,At-Risk,103,3,1825.77,2,3,3,8,0,0.0,2,15,Gold
CUST00166,New Customers,15,1,1269.41,5,1,2,8,1,0.0,1,7,Silver
CUST00167,Dormant,219,1,423.24,1,1,1,3,0,0.0,0,31,Not Enrolled
CUST00168,Loyal Customers,85,4,4159.16,3,4,5,12,0,0.0,2,29,Platinum
CUST00169,At-Risk,222,1,1799.45,1,1,3,5,0,0.0,1,45,Gold
CUST00170,Champions,9,10,6759.48,5,5,5,15,1,0.0,5,0,Not Enrolled
CUST00171,New Customers,12,1,1077.78,5,1,2,8,0,0.0,9,3,Not Enrolled
CUST00172,Needs Attention,8,7,4910.65,5,5,5,15,3,0.0,5,0,Silver
CUST00173,Loyal Customers,79,5,1431.69,3,4,2,9,1,0.0,10,2,Not Enrolled
CUST00174,Needs Attention,86,6,2361.28,2,5,3,10,2,16.7,14,24,Gold
CUST00175,Loyal Customers,59,4,3568.3199999999997,3,4,4,11,1,0.0,5,14,Not Enrolled
CUST00176,Dormant,37,3,3830.31,4,3,4,11,0,0.0,12,17,Not Enrolled
CUST00177,Dormant,82,2,1003.66,3,2,2,7,0,0.0,12,28,Not Enrolled
CUST00178,Needs Attention,5,8,5602.76,5,5,5,15,4,25.0,10,0,Not Enrolled
CUST00179,Needs Attention,38,3,1585.62,4,3,3,10,2,0.0,11,21,Silver
CUST00180,Needs Attention,96,2,1570.85,2,2,3,7,1,50.0,9,18,Not Enrolled
CUST00181,New Customers,6,1,1107.73,5,1,2,8,0,0.0,7,0,Silver
CUST00182,New Customers,31,1,305.3,4,1,1,6,0,0.0,12,0,Not Enrolled
CUST00183,At-Risk,152,3,3246.8900000000003,1,3,4,8,1,0.0,1,26,Not Enrolled
CUST00184,Needs Attention,14,5,5072.85,5,4,5,14,2,0.0,6,6,Platinum
CUST00185,At-Risk,114,7,4179.18,2,5,5,12,0,0.0,11,27,Not Enrolled
CUST00186,New Customers,41,1,714.65,4,1,1,6,1,0.0,2,5,Platinum
CUST00187,At-Risk,149,3,1344.75,1,3,2,6,1,0.0,0,17,Not Enrolled
CUST00188,Needs Attention,29,7,5810.17,4,5,5,14,3,14.3,11,5,Gold
CUST00189,Needs Attention,140,9,5900.65,2,5,5,12,3,11.1,10,27,Not Enrolled
CUST00190,New Customers,6,1,482.88,5,1,1,7,1,0.0,6,5,Not Enrolled
CUST00191,New Customers,28,1,149.0,4,1,1,6,0,0.0,6,11,Silver
CUST00192,Dormant,55,3,2263.95,3,3,3,9,0,0.0,8,30,Not Enrolled
CUST00193,Dormant,157,1,424.74,1,1,1,3,0,0.0,3,30,Not Enrolled
CUST00194,Needs Attention,80,5,3878.09,3,4,4,11,3,40.0,13,3,Not Enrolled
CUST00195,New Customers,23,1,654.27,4,1,1,6,1,0.0,5,0,Not Enrolled
CUST00196,New Customers,24,2,1272.38,4,2,2,8,1,0.0,1,12,Not Enrolled
CUST00197,Needs Attention,15,9,8552.59,5,5,5,15,3,0.0,11,10,Silver
CUST00198,Needs Attention,37,9,7595.96,4,5,5,14,2,0.0,1,6,Silver
CUST00199,Champions,6,4,3273.56,5,4,4,13,1,0.0,3,0,Silver
CUST00200,Champions,15,6,6239.45,5,5,5,15,1,0.0,7,2,Gold
CUST00201,Needs Attention,93,7,6691.56,2,5,5,12,2,0.0,3,12,Not Enrolled
CUST00202,Dormant,141,1,1220.26,2,1,2,5,0,0.0,9,40,Not Enrolled
CUST00203,Dormant,114,2,743.3499999999999,2,2,1,5,0,0.0,6,28,Not Enrolled
CUST00204,Loyal Customers,42,5,2706.75,4,4,4,12,0,0.0,17,4,Platinum
CUST00205,Loyal Customers,30,5,3202.69,4,4,4,12,0,0.0,13,0,Not Enrolled
CUST00206,Needs Attention,118,10,6479.7,2,5,5,12,3,10.0,7,38,Gold
CUST00207,New Customers,18,1,193.1,5,1,1,7,0,0.0,11,7,Not Enrolled
CUST00208,At-Risk,91,6,6865.35,2,5,5,12,1,0.0,2,24,Not Enrolled
CUST00209,At-Risk,279,5,3422.88,1,4,4,9,1,20.0,3,46,Not Enrolled
CUST00210,Dormant,128,2,1254.8700000000001,2,2,2,6,0,0.0,3,38,Not Enrolled
CUST00211,At-Risk,90,5,27215.920000000002,2,4,5,11,1,0.0,4,9,Not Enrolled
CUST00212,At-Risk,204,3,2071.6800000000003,1,3,3,7,0,0.0,3,45,Not Enrolled
CUST00213,Needs Attention,86,2,1680.61,2,2,3,7,2,100.0,2,15,Not Enrolled
CUST00214,Dormant,64,1,1427.16,3,1,2,6,0,0.0,3,14,Not Enrolled
CUST00215,Dormant,34,3,1564.1,4,3,3,10,1,0.0,8,15,Silver
CUST00216,Needs Attention,48,1,1349.42,3,1,2,6,1,100.0,7,16,Silver
CUST00217,Dormant,79,3,1179.94,3,3,2,8,0,0.0,2,13,Silver
CUST00218,New Customers,23,2,1492.68,4,2,2,8,0,0.0,1,5,Not Enrolled
CUST00219,At-Risk,154,6,2782.79,1,5,4,10,1,0.0,3,30,Silver
CUST00220,Dormant,25,3,1450.4099999999999,4,3,2,9,1,0.0,14,10,Not Enrolled
CUST00221,New Customers,7,2,781.03,5,2,2,9,0,0.0,16,2,Not Enrolled
CUST00222,Dormant,186,2,1259.5,1,2,2,5,1,0.0,1,22,Not Enrolled
CUST00223,Dormant,103,1,757.58,2,1,1,4,1,0.0,1,20,Silver
CUST00224,Needs Attention,89,2,1839.95,2,2,3,7,1,50.0,1,13,Not Enrolled
CUST00225,At-Risk,88,3,3012.6,2,3,4,9,0,0.0,3,19,Silver
CUST00226,Needs Attention,54,3,2345.42,3,3,3,9,1,33.3,6,34,Silver
CUST00227,Needs Attention,153,6,4383.02,1,5,5,11,2,16.7,0,29,Silver
CUST00228,Needs Attention,82,7,4150.72,3,5,5,13,2,14.3,6,11,Silver
CUST00229,At-Risk,92,5,3077.41,2,4,4,10,1,0.0,8,8,Silver
CUST00230,Needs Attention,37,8,7503.74,4,5,5,14,2,0.0,17,14,Not Enrolled
CUST00231,Dormant,23,3,1558.41,4,3,3,10,0,0.0,6,0,Not Enrolled
CUST00232,Dormant,55,1,786.26,3,1,2,6,0,0.0,2,1,Not Enrolled
CUST00233,At-Risk,361,3,1626.9899999999998,1,3,3,7,0,0.0,5,60,Not Enrolled
CUST00234,Loyal Customers,17,4,2458.9700000000003,5,4,3,12,0,0.0,6,0,Not Enrolled
CUST00235,At-Risk,125,4,2278.82,2,4,3,9,0,0.0,2,29,Not Enrolled
CUST00236,Dormant,62,1,782.89,3,1,2,6,1,0.0,8,8,Not Enrolled
CUST00237,Champions,15,4,3607.29,5,4,4,13,0,0.0,8,0,Platinum
CUST00238,Needs Attention,78,2,2181.78,3,2,3,8,2,0.0,1,8,Not Enrolled
CUST00239,Dormant,320,1,208.1,1,1,1,3,0,0.0,4,60,Silver
CUST00240,Dormant,56,2,2277.31,3,2,3,8,1,0.0,4,16,Silver
CUST00241,Dormant,6,3,3041.48,5,3,4,12,0,0.0,12,0,Not Enrolled
CUST00242,Loyal Customers,82,6,3655.25,3,5,4,12,0,0.0,11,5,Not Enrolled
CUST00243,Loyal Customers,69,4,3129.06,3,4,4,11,1,25.0,3,22,Gold
CUST00244,At-Risk,144,2,2449.86,2,2,3,7,0,0.0,1,23,Not Enrolled
CUST00245,Dormant,73,2,1245.78,3,2,2,7,0,0.0,6,16,Platinum
CUST00246,Dormant,52,3,1985.72,3,3,3,9,1,0.0,6,13,Silver
CUST00247,Needs Attention,57,11,5611.35,3,5,5,13,3,0.0,5,14,Not Enrolled
CUST00248,Champions,71,7,4187.5599999999995,3,5,5,13,0,0.0,2,15,Not Enrolled
CUST00249,At-Risk,162,3,1761.46,1,3,3,7,0,0.0,5,31,Silver
CUST00250,New Customers,35,1,837.19,4,1,2,7,0,0.0,6,2,Silver
CUST00251,Needs Attention,41,1,966.73,4,1,2,7,1,100.0,14,9,Not Enrolled
CUST00252,At-Risk,190,6,5194.02,1,5,5,11,0,0.0,4,23,Silver
CUST00253,At-Risk,191,3,1901.1299999999999,1,3,3,7,0,0.0,3,34,Platinum
CUST00254,At-Risk,183,4,3041.57,1,4,4,9,0,0.0,4,26,Not Enrolled
CUST00255,Needs Attention,22,6,4806.29,4,5,5,14,2,16.7,10,19,Not Enrolled
CUST00256,At-Risk,181,2,1727.8400000000001,1,2,3,6,1,0.0,1,34,Not Enrolled
CUST00257,Dormant,55,2,1042.47,3,2,2,7,0,0.0,7,19,Not Enrolled
CUST00258,Champions,42,10,6259.64,4,5,5,14,1,0.0,7,7,Not Enrolled
CUST00259,Dormant,192,1,1519.33,1,1,2,4,0,0.0,0,31,Not Enrolled
CUST00260,New Customers,2,2,1820.81,5,2,3,10,0,0.0,7,7,Not Enrolled
CUST00261,Dormant,51,1,350.44,3,1,1,5,0,0.0,0,0,Not Enrolled
CUST00262,New Customers,9,2,1318.44,5,2,2,9,0,0.0,5,9,Silver
CUST00263,Needs Attention,25,12,7940.0,4,5,5,14,6,25.0,15,11,Platinum
CUST00264,New Customers,31,2,671.0999999999999,4,2,1,7,1,0.0,7,0,Silver
CUST00265,Dormant,77,1,510.24,3,1,1,5,0,0.0,7,28,Gold
CUST00266,Needs Attention,158,4,5306.62,1,4,5,10,2,25.0,1,22,Not Enrolled
CUST00267,Needs Attention,29,4,4026.2300000000005,4,4,5,13,2,25.0,8,11,Not Enrolled
CUST00268,Dormant,9,3,2097.02,5,3,3,11,1,0.0,6,8,Not Enrolled
CUST00269,Dormant,30,3,2563.9300000000003,4,3,4,11,1,0.0,11,10,Not Enrolled
CUST00270,Dormant,75,2,968.72,3,2,2,7,0,0.0,8,7,Silver
CUST00271,Loyal Customers,32,4,3933.98,4,4,4,12,0,0.0,1,0,Not Enrolled
CUST00272,Champions,12,13,13721.27,5,5,5,15,0,0.0,7,1,Gold
CUST00273,Needs Attention,13,8,6009.55,5,5,5,15,4,12.5,7,1,Not Enrolled
CUST00274,Dormant,71,1,695.0,3,1,1,5,0,0.0,1,2,Not Enrolled
CUST00275,At-Risk,241,6,3879.21,1,5,4,10,1,0.0,5,51,Silver
CUST00276,Champions,47,6,8721.42,3,5,5,13,0,0.0,9,14,Silver
CUST00277,Dormant,2,3,1630.27,5,3,3,11,0,0.0,2,12,Silver
CUST00278,Needs Attention,69,4,2768.06,3,4,4,11,2,0.0,7,22,Not Enrolled
CUST00279,Champions,12,8,5366.55,5,5,5,15,1,0.0,9,0,Not Enrolled
CUST00280,Champions,10,8,7231.759999999999,5,5,5,15,0,0.0,6,4,Not Enrolled
CUST00281,New Customers,35,2,1161.06,4,2,2,8,0,0.0,3,9,Not Enrolled
CUST00282,Dormant,296,2,774.76,1,2,2,5,1,0.0,1,60,Not Enrolled
CUST00283,Needs Attention,18,10,7871.0,5,5,5,15,4,20.0,8,6,Silver
CUST00284,Dormant,291,2,781.62,1,2,2,5,0,0.0,1,60,Silver
CUST00285,Loyal Customers,13,4,2158.18,5,4,3,12,0,0.0,10,16,Not Enrolled
CUST00286,At-Risk,369,2,2027.25,1,2,3,6,1,0.0,1,60,Silver
CUST00287,Champions,69,6,6236.95,3,5,5,13,1,0.0,8,15,Silver
CUST00288,Dormant,110,2,1096.1,2,2,2,6,1,0.0,1,20,Not Enrolled
CUST00289,New Customers,5,2,811.06,5,2,2,9,0,0.0,5,0,Not Enrolled
CUST00290,New Customers,9,1,251.16,5,1,1,7,1,0.0,6,1,Silver
CUST00291,Needs Attention,58,9,5604.34,3,5,5,13,3,22.2,4,23,Gold
CUST00292,Needs Attention,43,1,657.91,4,1,1,6,1,100.0,6,0,Not Enrolled
CUST00293,At-Risk,230,3,1699.71,1,3,3,7,0,0.0,3,59,Gold
CUST00294,At-Risk,102,1,1714.42,2,1,3,6,0,0.0,15,35,Platinum
CUST00295,New Customers,16,2,2000.29,5,2,3,10,0,0.0,2,5,Not Enrolled
CUST00296,At-Risk,132,4,1989.83,2,4,3,9,0,0.0,2,30,Gold
CUST00297,Dormant,154,1,1130.29,1,1,2,4,1,0.0,13,30,Platinum
CUST00298,Dormant,201,1,1122.99,1,1,2,4,0,0.0,6,50,Not Enrolled
CUST00299,Needs Attention,343,4,2302.1800000000003,1,4,3,8,2,25.0,0,60,Not Enrolled
CUST00300,Loyal Customers,5,4,2276.6099999999997,5,4,3,12,0,0.0,5,1,Platinum
CUST00301,Needs Attention,9,7,7023.07,5,5,5,15,3,0.0,7,13,Gold
CUST00302,Needs Attention,148,4,2534.0,1,4,3,8,3,25.0,4,27,Silver
CUST00303,Needs Attention,48,5,3674.2,3,4,4,11,2,20.0,6,12,Not Enrolled
CUST00304,At-Risk,87,3,2837.27,2,3,4,9,1,0.0,4,5,Not Enrolled
CUST00305,Dormant,166,1,531.59,1,1,1,3,0,0.0,6,33,Silver
CUST00306,Needs Attention,19,5,3658.35,5,4,4,13,2,20.0,2,0,Not Enrolled
